"GBSid","PH","LW","FT"
4637,162.8,24.7,62
3075,162,30.04,65
1762,146,27.3,61
3626,155.4,10.8,46
736,127.4,28.5,53
4626,171.6,28.6,59
4302,194.4,35.6,63
1460,191,25,67
2814,141.02,30.06,89
2026,170.32,23.86,53
5359,135.8,22.85,59
1523,148.2,36.1,54
2303,167,24.2,59
6035,164.4,17.05,43
3888,106.666,28.76666667,56
1558,142.8,31.42,53
643,155.2,15.9,53
4640,145,23.5,71
4235,137,12.1,58
2221,34.8,10.6,38
1747,80,18.6,59
3217,127,34.8,42
1164,150.4,34.76666667,57
3373,148.5,23.1,56
5305,148.9,24.1,59
3658,155.8,33,67
1134,172.6,26.62,68
1480,176.4,27.98,48
2058,157.2,23,65
346,187.1,27.6,61
4455,175.3,36.2,68
2299,124.9,19.9,52
5927,100.2,26.3,51
2345,171.6,28.2,44
1659,150.4,29.26,50
3908,163.4,27.3,64
6052,134.75,23.0625,51
4664,158.2,30.28,78
4401,173.2,33.5,80
3464,135,8.1,57
2292,169.1,32.6,68
1277,157,26.8,61
6044,121.4,17.76,36
2827,98.4,17.8,61
5284,148.92,35.21,64
3295,164,30.2,53
5636,54.6,9.1,97
1278,208.6,29.82,56
1787,88,16.6,51
1048,171.4,37.6,64
260,137.2,29.85,49
48,184.4,36.2,63
5632,107.4,25.4,86
119,141.2,33.7,65
2746,106,18.6,62
3846,165.2,28.8,53
4082,189.7,26,81
4515,153.9,28.5,62
2174,165.2,27.6,61
1635,114.6,22.94,49
2335,172,29.6,57
4119,125.3,19.3,56
660,116.6,22.2,54
2802,100.58,36.8,41
4625,166.8,29.4,68
1190,161.3,16.3,67
1168,141.73,27.53333333,54
3397,120.2,33.6,57
4200,169.256,34,55
430,138.2,28.7,60
3164,151,33.9,71
1449,200.85,29.4,64
2256,166.4,31,69
4522,157.2,30.6,67
3349,161.6,32.3,44
2917,114.4,17.2,57
2087,191.94,41.8,58
3134,139.8,39.7,50
2758,110,12,40
4924,134.6,31.13,74
3379,146.8,28.8,46
478,194.8,29.8,60
5645,201,29.3,59
2676,170.6,23,62
4762,165.9,23.85,71
610,108.3,14.8,52
4185,133.36,20.32,50
4917,150.01,28.4,77
410,145.6,30.06,54
2824,110.6,12.2,61
5454,141.8,19.6,27
1715,123.7,21.4,54
5051,140.07,20.73,64
3124,146.2,34.12,47
5948,125.8,26.4,49
3087,127.8,30.82,65
1831,160.2,30.4,46
5935,111.2,21.7,43
1111,193.2,27.38,56
5483,118.3,23.62,27
4245,145.2,36.4,48
5008,173.27,30,59
5625,113.6,19.8,55
635,148.7,20,47
1383,207.6,32.64,65
1539,150.4,25.2,54
701,106.8,20,46
1186,136,16.9,55
